# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 722242491911
#
# Children      Self       Samples  Command          Shared Object     Symbol                                   
# ........  ........  ............  ...............  ................  .........................................
#
    73.65%     0.85%           515  fio              liburing.so.2.6   [.] io_uring_submit
    69.74%     1.15%           692  fio              [kernel.vmlinux]  [k] entry_SYSCALL_64
    67.66%     0.50%           304  fio              [kernel.vmlinux]  [k] do_syscall_64
    61.23%     0.35%           211  fio              [kernel.vmlinux]  [k] __x64_sys_io_uring_enter
    60.35%     0.78%           473  fio              [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    57.68%     0.99%           598  fio              [kernel.vmlinux]  [k] io_submit_sqes
    55.87%     0.64%           387  fio              [kernel.vmlinux]  [k] io_issue_sqe
    54.17%     0.86%           521  fio              [kernel.vmlinux]  [k] io_read
    47.48%     0.53%           319  fio              [kernel.vmlinux]  [k] blkdev_read_iter
    46.13%     0.59%           354  fio              [kernel.vmlinux]  [k] __blkdev_direct_IO_async
    35.94%     0.35%           214  fio              [kernel.vmlinux]  [k] submit_bio
    35.50%     0.62%           374  fio              [kernel.vmlinux]  [k] submit_bio_noacct
    34.65%     0.34%           208  fio              [kernel.vmlinux]  [k] submit_bio_noacct_nocheck
    32.08%     0.19%           114  fio              [kernel.vmlinux]  [k] __submit_bio
    31.51%     0.97%           587  fio              [kernel.vmlinux]  [k] blk_mq_submit_bio
    25.68%     0.38%           231  fio              [kernel.vmlinux]  [k] asm_common_interrupt
    25.36%     0.39%           237  fio              [kernel.vmlinux]  [k] common_interrupt
    24.38%     0.14%            87  fio              [kernel.vmlinux]  [k] blk_mq_try_issue_directly
    24.14%     0.35%           212  fio              [kernel.vmlinux]  [k] __blk_mq_try_issue_directly
    23.68%     0.51%           305  fio              [nvme]            [k] nvme_queue_rq
    21.94%     0.35%           210  fio              [nvme]            [k] nvme_prep_rq.part.0
