# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 60K of event 'cycles'
# Event count (approx.): 721080396983
#
# Children      Self       Samples  Command  Shared Object     Symbol                                      
# ........  ........  ............  .......  ................  ............................................
#
    79.59%     0.77%           466  fio      liburing.so.2.6   [.] io_uring_submit
    77.28%     0.98%           590  fio      [kernel.vmlinux]  [k] entry_SYSCALL_64
    75.68%     0.27%           162  fio      [kernel.vmlinux]  [k] do_syscall_64
    63.31%     0.24%           142  fio      [kernel.vmlinux]  [k] __x64_sys_io_uring_enter
    61.71%     0.83%           502  fio      [kernel.vmlinux]  [k] __do_sys_io_uring_enter
    59.84%     0.95%           573  fio      [kernel.vmlinux]  [k] io_submit_sqes
    57.77%     0.65%           394  fio      [kernel.vmlinux]  [k] io_issue_sqe
    56.35%     0.88%           527  fio      [kernel.vmlinux]  [k] io_read
    51.68%     0.75%           452  fio      [kernel.vmlinux]  [k] blkdev_read_iter
    49.52%     0.68%           408  fio      [kernel.vmlinux]  [k] __blkdev_direct_IO_async
    36.99%     0.23%           137  fio      [kernel.vmlinux]  [k] submit_bio
    36.73%     0.46%           277  fio      [kernel.vmlinux]  [k] submit_bio_noacct
    36.18%     0.30%           179  fio      [kernel.vmlinux]  [k] submit_bio_noacct_nocheck
    34.57%     0.12%            73  fio      [kernel.vmlinux]  [k] __submit_bio
    34.22%     1.07%           644  fio      [kernel.vmlinux]  [k] blk_mq_submit_bio
    25.56%     0.06%            36  fio      [kernel.vmlinux]  [k] blk_mq_try_issue_directly
    25.45%     0.68%           408  fio      [kernel.vmlinux]  [k] __blk_mq_try_issue_directly
    24.77%     1.54%           928  fio      [nvme]            [k] nvme_queue_rq
    20.94%     0.38%           226  fio      [nvme]            [k] nvme_prep_rq.part.0
    19.31%     0.18%           111  fio      [kernel.vmlinux]  [k] dma_map_page_attrs
    19.03%     0.50%           300  fio      [kernel.vmlinux]  [k] iommu_dma_map_page
    18.41%     0.49%           296  fio      [kernel.vmlinux]  [k] __iommu_dma_map
    16.42%     0.08%            48  fio      [kernel.vmlinux]  [k] iommu_map
    13.82%     0.55%           334  fio      [kernel.vmlinux]  [k] exit_to_user_mode_prepare
    12.59%     0.10%            60  fio      [kernel.vmlinux]  [k] arch_do_signal_or_restart
    12.59%     0.36%           219  fio      [kernel.vmlinux]  [k] intel_iommu_iotlb_sync_map
    12.44%     2.28%          1372  fio      [kernel.vmlinux]  [k] get_signal
    11.60%     0.39%           233  fio      [kernel.vmlinux]  [k] syscall_exit_to_user_mode
    11.59%     5.21%          3138  fio      [kernel.vmlinux]  [k] xas_find
    10.11%     0.18%           106  fio      [kernel.vmlinux]  [k] xa_find_after
     9.89%     0.93%           559  fio      [kernel.vmlinux]  [k] task_work_run
     9.86%     0.45%           271  fio      [kernel.vmlinux]  [k] asm_sysvec_reschedule_ipi
     8.03%     3.41%          2051  fio      [kernel.vmlinux]  [k] tctx_task_work
     6.86%     0.09%            54  fio      fio               [.] get_next_rand_block
     6.80%     1.26%           758  fio      [kernel.vmlinux]  [k] bio_iov_iter_get_pages
     6.41%     5.56%          3347  fio      [kernel.vmlinux]  [k] xas_move_index
     5.94%     4.17%          2513  fio      fio               [.] axmap_isset
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf130
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf1a0
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf210
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf280
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf2f0
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf360
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf3d0
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf440
     5.73%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf4b0
     5.73%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafa2c2c0
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc7b0
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc820
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc890
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc900
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc970
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc9e0
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cca50
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccac0
     5.72%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccb30
     5.72%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafba22c0
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd210
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd280
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd2f0
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd360
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd3d0
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd440
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd4b0
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd520
     5.66%     0.00%             0  fio      [unknown]         [.] 0x000055f04d5cd590
     5.66%     0.00%             0  fio      [unknown]         [.] 0x00007f4aaf914000
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf660
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf6d0
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf740
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf7b0
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf820
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf890
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf900
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf970
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cf9e0
     5.65%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafa5ade0
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c9bd0
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ca050
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ca080
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ca0b0
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ca120
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ca190
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ca200
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb0d0
     5.65%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb140
     5.65%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafab8b20
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccce0
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccd50
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccdc0
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cce30
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccea0
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccf10
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccf80
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ccff0
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cd060
     5.64%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafbd0de0
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cd740
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cd7b0
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cd820
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cd890
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cd900
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cd970
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cd9e0
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cda50
     5.64%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cdac0
     5.64%     0.00%             0  fio      [unknown]         [k] 0x00007f4aaf942b20
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cec00
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cec70
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cece0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ced50
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cedc0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cee30
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ceea0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cef10
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cef80
     5.63%     0.00%             0  fio      [unknown]         [k] 0x00007f4aaf9fd7a0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce1a0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce210
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce280
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce2f0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce360
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce3d0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce440
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce4b0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce520
     5.63%     0.00%             0  fio      [unknown]         [k] 0x00007f4aaf9a0160
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce6d0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce740
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce7b0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce820
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce890
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce900
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce970
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5ce9e0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cea50
     5.63%     0.00%             0  fio      [unknown]         [k] 0x00007f4aaf9cec80
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c96b0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c9780
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c97d0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c9840
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c98b0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c9920
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c99b0
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c9a00
     5.63%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5c9a50
     5.63%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafa8a000
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb2f0
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb360
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb3d0
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb440
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb4b0
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb520
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb590
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb600
     5.61%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb670
     5.61%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafae7640
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc280
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc2f0
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc360
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc3d0
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc440
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc4b0
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc520
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc590
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc600
     5.60%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafb737a0
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbd50
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbdc0
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbe30
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbea0
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbf10
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbf80
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbff0
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc060
     5.60%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cc0d0
     5.60%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafb44c80
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb820
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb890
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb900
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb970
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cb9e0
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cba50
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbac0
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbb30
     5.58%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cbba0
     5.58%     0.00%             0  fio      [unknown]         [k] 0x00007f4aafb16160
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cdc70
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cdce0
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cdd50
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cddc0
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cde30
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cdea0
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cdf10
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cdf80
     5.56%     0.00%             0  fio      [unknown]         [k] 0x000055f04d5cdff0
     5.56%     0.00%             0  fio      [unknown]         [k] 0x00007f4aaf971640
     5.39%     0.04%            23  fio      [kernel.vmlinux]  [k] iov_iter_get_pages
     5.25%     0.23%           136  fio      [kernel.vmlinux]  [k] __iov_iter_get_pages_alloc
     5.00%     0.10%            58  fio      [kernel.vmlinux]  [k] get_user_pages_fast
     4.74%     2.21%          1328  fio      [kernel.vmlinux]  [k] internal_get_user_pages_fast
     4.57%     0.32%           194  fio      [kernel.vmlinux]  [k] __blk_mq_alloc_requests
     4.54%     0.93%           558  fio      [kernel.vmlinux]  [k] bio_alloc_bioset
     4.03%     0.42%           252  fio      [kernel.vmlinux]  [k] sysvec_reschedule_ipi
     3.62%     0.28%           166  fio      [kernel.vmlinux]  [k] __iommu_map
     3.48%     0.19%           112  fio      [kernel.vmlinux]  [k] blk_mq_get_tag
     3.32%     0.08%            46  fio      [kernel.vmlinux]  [k] __blk_mq_get_tag
     3.28%     0.31%           187  fio      [kernel.vmlinux]  [k] intel_iommu_map_pages
     3.23%     0.02%            11  fio      [kernel.vmlinux]  [k] __sbitmap_queue_get
     3.21%     0.12%            75  fio      [kernel.vmlinux]  [k] sbitmap_get
     3.09%     0.89%           537  fio      fio               [.] do_io
     2.95%     1.98%          1190  fio      [kernel.vmlinux]  [k] __domain_mapping
     2.73%     2.37%          1429  fio      [kernel.vmlinux]  [k] _raw_spin_lock
     2.71%     0.04%            23  fio      [kernel.vmlinux]  [k] irqentry_exit
     2.66%     0.00%             2  fio      [kernel.vmlinux]  [k] irqentry_exit_to_user_mode
     2.35%     2.35%          1418  fio      [kernel.vmlinux]  [k] try_grab_folio
     2.18%     2.17%          1309  fio      [kernel.vmlinux]  [k] native_irq_return_iret
     2.18%     0.32%           191  fio      [kernel.vmlinux]  [k] __io_submit_flush_completions
     1.98%     0.07%            45  fio      [kernel.vmlinux]  [k] rw_verify_area
     1.94%     0.11%            65  fio      [kernel.vmlinux]  [k] xa_find
     1.88%     0.18%           110  fio      [kernel.vmlinux]  [k] security_file_permission
     1.86%     1.31%           791  fio      fio               [.] get_io_u
     1.83%     0.21%           124  fio      [kernel.vmlinux]  [k] mempool_alloc
     1.73%     1.64%           987  fio      [kernel.vmlinux]  [k] sbitmap_find_bit
     1.73%     0.06%            37  fio      [kernel.vmlinux]  [k] io_req_rw_complete
