thinkcycles,IOPS,IPIs,IPIs from U,IPI per IO,IPIs from U (%)
0,11319886,11001981,809111,97.19%,7.35%
1,11075444,10764542,1465386,97.19%,13.61%
2,10891795,10594978,1914549,97.27%,18.07%
4,10903481,10580615,1742160,97.04%,16.47%
8,10440226,10157775,2594135,97.29%,25.54%
16,10352429,10085683,2752349,97.42%,27.29%
32,9659251,9468660,4268698,98.03%,45.08%
64,8696852,8586706,3976014,98.73%,46.30%
128,7759963,7656439,388441,98.67%,5.07%
256,5982065,5934950,81315,99.21%,1.37%
512,3841834,3831493,3815202,99.73%,99.57%
1024,2392360,2388045,2382529,99.82%,99.77%
2048,1359196,1360455,1357517,100.09%,99.78%
4096,731221,731751,730395,100.07%,99.81%
