,2 normal threads,,,SQ polling,,
QD,iops,lat avg,lat p99,iops,lat avg,lat p99
1,420871.91,303.51,318,422877.48,150.93,208
2,415584.69,307.32,322,422566.6,151.02,208
4,414298.73,308.24,322,422706.86,150.93,208
8,407692.08,313.18,330,422757.13,150.84,210
16,395791.34,322.44,334,422086.38,150.93,212
32,367085.65,347.4,367,422320.06,150.56,217
64,326579.38,389.78,416,421094.01,150.41,227
128,266405.67,476.99,515,329627.68,191.36,247
256,199521.34,635.98,668,182822.09,344.88,400
512,143506.54,881.14,922,97253.96,648.15,701
